Chr1	122,026,460	125,184,587
Chr2	92,188,146	94,090,557
Chr3	90,772,459	93,655,574
Chr4	49,708,101	51,743,951
Chr5	46,485,901	50,059,807
Chr6	58,553,889	59,829,934
Chr7	58,169,654	60,828,234
Chr8	44,033,745	45,877,265
Chr9	43,236,168	45,518,558
Chr10	39,686,683	41,593,521
Chr11	51,078,349	54,425,074
Chr12	34,769,408	37,185,252
Chr13	16,000,001	18,051,248
Chr14	16,000,001	18,173,523
Chr15	17,000,001	19,725,254
Chr16	36,311,159	38,280,682
Chr17	22,813,680	26,885,980
Chr18	15,460,900	20,861,206
Chr19	24,498,981	27,190,874
Chr20	26,436,233	30,038,348
Chr21	10,864,561	12,915,808
Chr22	12,954,789	15,054,318
ChrX	58,605,580	62,412,542
ChrY	10,316,945	10,544,039
