Chr1	248956422	10000	122026459	125184588	248946421
Chr2	242193529	10000	92188145	94090558	242183528
Chr3	198295559	10000	90772458	93655575	198235558
Chr4	190214555	10000	49708100	51743952	190204554
Chr5	181538259	10000	46485900	50059808	181478258
Chr6	170805979	60000	58553888	59829935	170745978
Chr7	159345973	10000	58169653	60828235	159335972
Chr8	145138636	60000	44033744	45877266	145078635
Chr9	138394717	10000	43236167	45518559	138334716
Chr10	133797422	10000	39686682	41593522	133787421
Chr11	135086622	60000	51078348	54425075	135076621
Chr12	133275309	10000	34769407	37185253	133265308
Chr13	114364328	16000000	16000000	18051249	114354327
Chr14	107043718	16000000	16000000	18173524	106883717
Chr15	101991189	17000000	17000000	19725255	101981188
Chr16	90338345	10000	36311158	38280683	90228344
Chr17	83257441	60000	22813679	26885981	83247440
Chr18	80373285	10000	15460899	20861207	80263284
Chr19	58617616	60000	24498980	27190875	58607615
Chr20	64444167	60000	26436232	30038349	64334166
Chr21	46709983	5010000	10864560	12915809	46699982
Chr22	50818468	10510000	12954788	15054319	50808467
ChrX	156040895	10000	58605579	62412543	156030894
ChrY	57227415	10000	10316944	10544040	57217414
