Chr1	10000	248946421
Chr2	10000	242183528
Chr3	10000	198235558
Chr4	10000	190204554
Chr5	10000	181478258
Chr6	60000	170745978
Chr7	10000	159335972
Chr8	60000	145078635
Chr9	10000	138334716
Chr10	10000	133787421
Chr11	60000	135076621
Chr12	10000	133265308
Chr13	16000000	114354327
Chr14	16000000	106883717
Chr15	17000000	101981188
Chr16	10000	90228344
Chr17	60000	83247440
Chr18	10000	80263284
Chr19	60000	58607615
Chr20	60000	64334166
Chr21	5010000	46699982
Chr22	10510000	50808467
ChrX	10000	156030894
ChrY	10000	57217414
